"source_path","file_name","classification","proposed_destination","requires_split","dependencies","risk","priority","evidence_summary"
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\ARCHITECTURAL_PRINCIPLES.md","ARCHITECTURAL_PRINCIPLES.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","Nenhuma dependencia documental explicita localizada no arquivo.","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'Princípios Arquiteturais'; referencias verificadas: ICFACTORY=1, PROTEUS/CASE-01=0. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\CASE01_GLOBAL_ARCHITECTURE_AUDIT.md","CASE01_GLOBAL_ARCHITECTURE_AUDIT.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","docs/architecture/INTEGRATION_AUDIT_REPORT.md; docs/architecture/EXECUTIVE_INTELLIGENCE_ARCHITECTURE.md; docs/research/GP_R02_VALUE_PROGRESSION_AUDIT.md; docs/research/GP_R03_EXECUTIVE_CONTEXT_AUDIT.md; docs/history/HISTORY.md; docs/roadmap/ROADMAP.md","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'GP-A23 - Auditoria Arquitetural Global do CASE-01'; referencias verificadas: ICFACTORY=2, PROTEUS/CASE-01=5. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\EXECUTIVE_INTELLIGENCE_ARCHITECTURE.md","EXECUTIVE_INTELLIGENCE_ARCHITECTURE.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","Nenhuma dependencia documental explicita localizada no arquivo.","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'GP-A22A - Arquitetura da Inteligencia Executiva Evolutiva'; referencias verificadas: ICFACTORY=0, PROTEUS/CASE-01=1. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\GP_A22E_EXECUTIVE_RECOMMENDATION_TRACEABILITY.md","GP_A22E_EXECUTIVE_RECOMMENDATION_TRACEABILITY.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","docs/architecture/GP_A22E_EXECUTIVE_RECOMMENDATION_TRACEABILITY.md; docs/history/HISTORY.md; docs/roadmap/ROADMAP.md","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'GP-A22E - Rastreabilidade Das Recomendacoes Executivas'; referencias verificadas: ICFACTORY=1, PROTEUS/CASE-01=0. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\INTEGRATION_AUDIT_REPORT.md","INTEGRATION_AUDIT_REPORT.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","Nenhuma dependencia documental explicita localizada no arquivo.","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'GP-A20 - Integração da Previsão Analítica com o Núcleo de Monitoramento Hídrico'; referencias verificadas: ICFACTORY=0, PROTEUS/CASE-01=0. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\PE_02_PA01_ARCHITECTURAL_AUDIT.md","PE_02_PA01_ARCHITECTURAL_AUDIT.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","docs/pac/PE_01_IMPLEMENTATION_EXECUTION_STRATEGY.md; docs/pac/PAC_14_PROJECT_EVOLUTION_PLAN.md; docs/pac/PAC_13_OFFICIAL_CONVERGENCE_CONSOLIDATION.md; docs/history/HISTORY.md; docs/roadmap/ROADMAP.md","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'GP-PE-02 - Auditoria Arquitetural da PA-01'; referencias verificadas: ICFACTORY=2, PROTEUS/CASE-01=2. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\PE_03_PA01_IMPLEMENTATION_DECOMPOSITION.md","PE_03_PA01_IMPLEMENTATION_DECOMPOSITION.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","docs/architecture/PE_02_PA01_ARCHITECTURAL_AUDIT.md; docs/pac/PE_01_IMPLEMENTATION_EXECUTION_STRATEGY.md; docs/pac/PAC_14_PROJECT_EVOLUTION_PLAN.md; docs/pac/PAC_13_OFFICIAL_CONVERGENCE_CONSOLIDATION.md; docs/history/HISTORY.md; docs/roadmap/ROADMAP.md","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'PE-03 - Decomposicao Executiva da PA-01 em Frentes de Implementacao'; referencias verificadas: ICFACTORY=1, PROTEUS/CASE-01=3. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\PE_04_PA01A_SEMANTIC_STATUS_GOVERNANCE.md","PE_04_PA01A_SEMANTIC_STATUS_GOVERNANCE.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","docs/architecture/PE_03_PA01_IMPLEMENTATION_DECOMPOSITION.md; docs/architecture/PE_02_PA01_ARCHITECTURAL_AUDIT.md; docs/pac/PE_01_IMPLEMENTATION_EXECUTION_STRATEGY.md; docs/pac/PAC_14_PROJECT_EVOLUTION_PLAN.md; docs/history/HISTORY.md; docs/roadmap/ROADMAP.md","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'PE-04 - PA-01A - Governanca Semantica de Status'; referencias verificadas: ICFACTORY=0, PROTEUS/CASE-01=1. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\PE_05_PA01A_IMPLEMENTATION_AUDIT.md","PE_05_PA01A_IMPLEMENTATION_AUDIT.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","docs/architecture/PE_04_PA01A_SEMANTIC_STATUS_GOVERNANCE.md; docs/architecture/PE_03_PA01_IMPLEMENTATION_DECOMPOSITION.md; docs/architecture/PE_02_PA01_ARCHITECTURAL_AUDIT.md; docs/pac/PE_01_IMPLEMENTATION_EXECUTION_STRATEGY.md; docs/pac/PAC_14_PROJECT_EVOLUTION_PLAN.md; docs/history/HISTORY.md; e mais 1 referencias no proprio arquivo.","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'PE-05 - Auditoria Pos-Implementacao da PA-01A'; referencias verificadas: ICFACTORY=3, PROTEUS/CASE-01=2. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\PE_06_PA01B_ARCHITECTURAL_AUDIT.md","PE_06_PA01B_ARCHITECTURAL_AUDIT.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","docs/architecture/PE_03_PA01_IMPLEMENTATION_DECOMPOSITION.md; docs/architecture/PE_02_PA01_ARCHITECTURAL_AUDIT.md; docs/architecture/PE_05_PA01A_IMPLEMENTATION_AUDIT.md; docs/pac/PE_01_IMPLEMENTATION_EXECUTION_STRATEGY.md; docs/pac/PAC_14_PROJECT_EVOLUTION_PLAN.md","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'PE-06 - Auditoria Arquitetural da PA-01B'; referencias verificadas: ICFACTORY=1, PROTEUS/CASE-01=0. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\PE_07_PA01B_DASHBOARD_ANALYTICS_DECOUPLING.md","PE_07_PA01B_DASHBOARD_ANALYTICS_DECOUPLING.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","docs/architecture/PE_06_PA01B_ARCHITECTURAL_AUDIT.md; docs/architecture/PE_03_PA01_IMPLEMENTATION_DECOMPOSITION.md; docs/architecture/PE_02_PA01_ARCHITECTURAL_AUDIT.md; docs/architecture/PE_05_PA01A_IMPLEMENTATION_AUDIT.md; docs/pac/PE_01_IMPLEMENTATION_EXECUTION_STRATEGY.md; docs/pac/PAC_14_PROJECT_EVOLUTION_PLAN.md; e mais 3 referencias no proprio arquivo.","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'PE-07 - Implementacao da PA-01B'; referencias verificadas: ICFACTORY=2, PROTEUS/CASE-01=1. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\PE_08_PA01B_POST_IMPLEMENTATION_AUDIT.md","PE_08_PA01B_POST_IMPLEMENTATION_AUDIT.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","docs/architecture/PE_06_PA01B_ARCHITECTURAL_AUDIT.md; docs/architecture/PE_07_PA01B_DASHBOARD_ANALYTICS_DECOUPLING.md; docs/architecture/PE_05_PA01A_IMPLEMENTATION_AUDIT.md; docs/architecture/PE_03_PA01_IMPLEMENTATION_DECOMPOSITION.md; docs/history/HISTORY.md; docs/roadmap/ROADMAP.md; e mais 1 referencias no proprio arquivo.","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'PE-08 - Auditoria Pos-Implementacao da PA-01B'; referencias verificadas: ICFACTORY=2, PROTEUS/CASE-01=0. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\PE_09_PA01C_LIST_CENTRALIZATION_AUDIT.md","PE_09_PA01C_LIST_CENTRALIZATION_AUDIT.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","docs/architecture/PE_02_PA01_ARCHITECTURAL_AUDIT.md; docs/architecture/PE_03_PA01_IMPLEMENTATION_DECOMPOSITION.md; docs/architecture/PE_05_PA01A_IMPLEMENTATION_AUDIT.md; docs/architecture/PE_06_PA01B_ARCHITECTURAL_AUDIT.md; docs/architecture/PE_07_PA01B_DASHBOARD_ANALYTICS_DECOUPLING.md; docs/architecture/PE_08_PA01B_POST_IMPLEMENTATION_AUDIT.md; e mais 4 referencias no proprio arquivo.","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'PE-09 - Auditoria Arquitetural da PA-01C'; referencias verificadas: ICFACTORY=1, PROTEUS/CASE-01=3. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\PE_10_PA01C_LIST_CENTRALIZATION_IMPLEMENTATION.md","PE_10_PA01C_LIST_CENTRALIZATION_IMPLEMENTATION.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","docs/architecture/PE_09_PA01C_LIST_CENTRALIZATION_AUDIT.md; docs/architecture/PE_08_PA01B_POST_IMPLEMENTATION_AUDIT.md; docs/architecture/PE_07_PA01B_DASHBOARD_ANALYTICS_DECOUPLING.md; docs/architecture/PE_06_PA01B_ARCHITECTURAL_AUDIT.md; docs/architecture/PE_05_PA01A_IMPLEMENTATION_AUDIT.md; docs/architecture/PE_04_PA01A_SEMANTIC_STATUS_GOVERNANCE.md; e mais 7 referencias no proprio arquivo.","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'PE-10 - Implementacao da PA-01C'; referencias verificadas: ICFACTORY=1, PROTEUS/CASE-01=3. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\PE_11_PA01C_POST_IMPLEMENTATION_AUDIT.md","PE_11_PA01C_POST_IMPLEMENTATION_AUDIT.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","docs/architecture/PE_02_PA01_ARCHITECTURAL_AUDIT.md; docs/architecture/PE_03_PA01_IMPLEMENTATION_DECOMPOSITION.md; docs/architecture/PE_05_PA01A_IMPLEMENTATION_AUDIT.md; docs/architecture/PE_06_PA01B_ARCHITECTURAL_AUDIT.md; docs/architecture/PE_07_PA01B_DASHBOARD_ANALYTICS_DECOUPLING.md; docs/architecture/PE_08_PA01B_POST_IMPLEMENTATION_AUDIT.md; e mais 6 referencias no proprio arquivo.","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'PE-11 - Auditoria Pos-Implementacao da PA-01C'; referencias verificadas: ICFACTORY=3, PROTEUS/CASE-01=3. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\PE_12_PA01D_CONTROLLED_REEVALUATION_AUDIT.md","PE_12_PA01D_CONTROLLED_REEVALUATION_AUDIT.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","docs/architecture/PE_03_PA01_IMPLEMENTATION_DECOMPOSITION.md; docs/architecture/PE_05_PA01A_IMPLEMENTATION_AUDIT.md; docs/architecture/PE_08_PA01B_POST_IMPLEMENTATION_AUDIT.md; docs/architecture/PE_11_PA01C_POST_IMPLEMENTATION_AUDIT.md; docs/pac/PE_01_IMPLEMENTATION_EXECUTION_STRATEGY.md; docs/pac/PAC_14_PROJECT_EVOLUTION_PLAN.md; e mais 2 referencias no proprio arquivo.","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'PE-12 - Auditoria Arquitetural da PA-01D'; referencias verificadas: ICFACTORY=3, PROTEUS/CASE-01=3. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\PE_13_PA01D_CONTROLLED_REEVALUATION_IMPLEMENTATION.md","PE_13_PA01D_CONTROLLED_REEVALUATION_IMPLEMENTATION.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","docs/architecture/PE_12_PA01D_CONTROLLED_REEVALUATION_AUDIT.md; docs/architecture/PE_11_PA01C_POST_IMPLEMENTATION_AUDIT.md; docs/architecture/PE_08_PA01B_POST_IMPLEMENTATION_AUDIT.md; docs/architecture/PE_05_PA01A_IMPLEMENTATION_AUDIT.md; docs/architecture/PE_03_PA01_IMPLEMENTATION_DECOMPOSITION.md; docs/pac/PE_01_IMPLEMENTATION_EXECUTION_STRATEGY.md; e mais 4 referencias no proprio arquivo.","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'PE-13 - Implementacao da PA-01D'; referencias verificadas: ICFACTORY=2, PROTEUS/CASE-01=3. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\PE_14_PA01D_POST_IMPLEMENTATION_AUDIT.md","PE_14_PA01D_POST_IMPLEMENTATION_AUDIT.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","docs/architecture/PE_13_PA01D_CONTROLLED_REEVALUATION_IMPLEMENTATION.md; docs/history/HISTORY.md; docs/roadmap/ROADMAP.md","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'PE-14 - Auditoria Pos-Implementacao da PA-01D'; referencias verificadas: ICFACTORY=1, PROTEUS/CASE-01=2. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\PE_15_PA01E_COMMUNICATION_GUARDRAILS_AUDIT.md","PE_15_PA01E_COMMUNICATION_GUARDRAILS_AUDIT.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","Nenhuma dependencia documental explicita localizada no arquivo.","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'PE-15 - Auditoria Arquitetural da PA-01E'; referencias verificadas: ICFACTORY=2, PROTEUS/CASE-01=3. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\PE_16_PA01E_COMMUNICATION_GUARDRAILS_IMPLEMENTATION.md","PE_16_PA01E_COMMUNICATION_GUARDRAILS_IMPLEMENTATION.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","docs/architecture/PE_15_PA01E_COMMUNICATION_GUARDRAILS_AUDIT.md; docs/architecture/PE_16_PA01E_COMMUNICATION_GUARDRAILS_IMPLEMENTATION.md; docs/history/HISTORY.md; docs/roadmap/ROADMAP.md","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'PE-16 — Implementação da PA-01E — Guardrails Obrigatórios de Comunicação'; referencias verificadas: ICFACTORY=1, PROTEUS/CASE-01=0. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
