"concept_name","origin","first_occurrence","documents","ogs","principles","constitutions","audits","current_maturity","usage_level","validated","constitutional","scientific_debt","recommended_action","evidence"
"GDC-R — Cadeia Premissa–Evidência–Inferência–Fundamentação–Decisão–Validação","GP-PI-07A; linha GP-RG","GP-PI-07A, 17/07/2026; commit 2c9c852 em 18/07","PI_07A_DECISION_FOUNDATION_GOVERNANCE_REPORT.md; RG_01…RG_09; PHASE_I_CONSOLIDATED_REPORT.md; HISTORY.md; ROADMAP.md","GP-PI-07A; GP-RG-01…09; OEG-GIT-04/05/07","Rastreabilidade e fundamentação observável de decisões","Constituição de pesquisa RG-01; nenhuma alteração da Constituição ICFACTORY","Auditorias PI-07A, RG-06, RG-07, RG-09 e OEG-GIT","E","Utilizado em múltiplas OGs","NO — H-RG-001 continua sem validação universal","NO","YES","Separar baseline de pesquisa da metodologia oficial e executar Fase II externa","A cadeia aparece em 12 documentos e GDC-R em 40; RG-01 linha 74 marca hipótese com validação pendente; PHASE I linhas 145–168 limita apoio ao contexto sintético."
"Critério de Avaliação pré-declarado","RG-01 — GDC-R","RG_01_RESEARCH_CONSTITUTION, 17/07/2026","RG_01_RESEARCH_CONSTITUTION.md; RG_05_EXPERIMENTAL_PROTOCOL.md; RG_06…RG_09","GP-RG-01; GP-RG-05…09","Validação por critérios definidos antes da execução","Nenhuma","Pré-registro e auditorias experimentais RG-06/07/09","P","Utilizado em múltiplas OGs","NO — hipótese observacional","NO","YES","Validar distinção semântica e necessidade independente na Fase II","RG-01 linhas 130–138 rotula HIPÓTESE OBSERVACIONAL e condiciona inclusão; protocolos posteriores usam critérios prévios."
"Separação Epistêmica — Evidência não é Inferência","RG-01 / PM-02 e PM-03","RG_01_RESEARCH_CONSTITUTION, 17/07/2026","RG_01…RG_09; GP_R06_AI_DECISION_GOVERNANCE_EXPERIMENTAL_RESEARCH.md; PI_07A report","GP-PI-07A; GP-RG-01…09; GP-R06","Observabilidade; distinção fato, hipótese, premissa e interpretação","Nenhuma alteração constitucional","Matrizes e auditorias experimentais GDC-R","E","Utilizado em múltiplas OGs","NO — sustentado experimentalmente, não validado externamente","NO","YES","Executar comparação controlada com protocolo alternativo","RG-01 linhas 168–180 define PM-02/03; H-RG-002 é sustentada em um caso e o relatório proíbe tratá-la como validada."
"Revisão Explícita e Preservação Histórica de tentativas rejeitadas","GP-PI-07A / PM-07 e PM-08","GP-PI-07A, 17/07/2026","PI_07A report; RG_01…RG_09; HISTORY.md","GP-PI-07A; GP-RG","Evolução auditável; não apagar estados anteriores","Compatível com Evolução Auditável, mas não incorporado à Constituição","Auditorias da cadeia GDC-R","E","Utilizado em múltiplas OGs","NO — sustentado em um caso e replicações documentais limitadas","NO","YES","Validar ganho causal e custo documental antes de promoção","RG-01 linhas 192–198 define PM-07/08; H-RG-003 é sustentada em um caso, explicitamente não validada."
"Gate GX-PKG","GP-RG-08; piloto GP-RG-09","GP-RG-08/09, 18/07/2026","RG_08_*; RG_09_*; PHASE_I_CONSOLIDATED_REPORT.md; HISTORY.md; ROADMAP.md","GP-RG-08; GP-RG-09; OEG-GIT","Executabilidade e bloqueio antes de execução substantiva","Nenhuma","RG-09: 8/8 classificações e repetibilidade no mesmo Harness","V","Utilizado em OG","YES — apenas no escopo sintético declarado","NO","NO","Preservar escopo; exigir validação externa antes de uso operacional real","PHASE I linhas 58–83 e 145–168 registra validação sintética, zero falso GO/NO-GO e ausência de generalização universal."
"Executabilidade Experimental e Integridade do Pacote","GP-RG-08","GP-RG-08, 18/07/2026","RG_08_EXECUTABILITY_FRAMEWORK.md; RG_08_PACKAGE_INTEGRITY_PROTOCOL.md; RG_08_EXECUTABILITY_CHECKLIST.md; RG_09_*","GP-RG-08; GP-RG-09","Integridade, identidade e resolução documental separadas","Nenhuma","Auditoria e piloto GX-PKG","V","Utilizado em OG","YES — validado no pacote sintético, não em ambiente real","NO","NO","Manter como validação limitada e planejar reprodução externa","PHASE I linhas 99–109 e 157–168 incorpora os elementos à baseline da pesquisa, com limitações explícitas nas linhas 129–153."
"Harness como executor assistido sem autoridade própria","GP-H01 / GP-HA01…HA08","GP-H01; dossiê GP-HA08 de 12/07/2026","HARNESS_GOVERNANCE_RESEARCH_DOSSIER.md; HISTORY.md; ROADMAP.md","GP-H01; GP-HA01…08; prática de execução no PROTEUS","Inteligência não é autoridade; autoridade humana explícita","Lacuna constitucional identificada; Constituição não alterada","GP-H01 e GP-HA07","E","Uso pontual","NO — consolidação interna, sem validação externa","NO","YES","Abrir validação externa e decidir camada normativa correta","Dossiê linhas 23–45 e 221–255 diz consolidado internamente, não normativo e sem validação externa; linha 29 comprova prática operacional."
"Especificação Estruturada de Execução","GP-HA03","GP-HA03; dossiê GP-HA08 de 12/07/2026","HARNESS_GOVERNANCE_RESEARCH_DOSSIER.md","GP-HA03; prática PROTEUS","Escopo e restrições explícitas antes da execução","Nenhuma","GP-HA03; consolidação GP-HA07","E","Uso pontual","NO — apenas consolidação interna","NO","YES","Validar em diferentes Harnesses/projetos antes de normatizar","Dossiê linhas 29, 92–98, 143 e 221–255 comprova uso de especificações estruturadas e ausência de promoção/validação externa."
"Contexto de Execução governado","GP-HA04","GP-HA04; dossiê GP-HA08 de 12/07/2026","HARNESS_GOVERNANCE_RESEARCH_DOSSIER.md","GP-HA04; prática PROTEUS","Contexto explícito e controlado","Nenhuma","GP-HA04; consolidação GP-HA07","E","Uso pontual","NO — apenas consolidação interna","NO","YES","Definir métricas e validar portabilidade entre Harnesses","Dossiê linhas 29, 100–106, 144 e 221–255 comprova contexto controlado na prática e mantém o conceito fora da norma."
"Prompt Operacional derivado de Especificação e Contexto","GP-HA05/GP-HA07","Modelo GP-HA05; dossiê GP-HA08","HARNESS_GOVERNANCE_RESEARCH_DOSSIER.md","GP-HA05/07","Separação entre governança e instrução operacional","Nenhuma","Modelagem e auditoria consolidativa","E","Não utilizado","NO — apenas modelado documentalmente","NO","NO","Obter evidência de uso antes de avaliar promoção","Dossiê linhas 145, 153–170 e 221–255 modela derivação, mas não apresenta execução identificável do conceito como artefato autônomo."
"Pré-Validação da Execução Assistida","GP-HA06","GP-HA06; dossiê GP-HA08","HARNESS_GOVERNANCE_RESEARCH_DOSSIER.md","GP-HA06/07","Autorização antes da execução","Possível evolução futura; nenhuma alteração","GP-HA06 e GP-HA07","E","Não utilizado","NO — reconhecida conceitualmente, sem ensaio externo","NO","NO","Projetar piloto controlado com critérios de sucesso/falha","Dossiê linhas 116–130, 146 e 221–255 declara etapa crítica conceitual e ausência de validação externa."
"Processo completo de Execução Assistida e cadeia de custódia","GP-HA05/GP-HA07","GP-HA05; dossiê GP-HA08","HARNESS_GOVERNANCE_RESEARCH_DOSSIER.md","GP-HA05/07","Rastreabilidade de estados, artefatos, autoridade e encerramento","Nenhuma","Auditoria consolidativa GP-HA07","E","Não utilizado","NO — modelo conceitual","NO","NO","Executar piloto completo antes de qualquer constitucionalização","Dossiê linhas 108–130, 151–217 e 248–289 modela o ciclo e lista ausência de validação externa."
"Inventário de Premissas GP-R06","GP-R06 — Governança Experimental da Decisão por IA","GP-R03 provisória / GP-R06 canônica, 16/07/2026","GP_R06_AI_DECISION_GOVERNANCE_EXPERIMENTAL_RESEARCH.md","GP-R06","Separação de fato, inferência, hipótese e autoridade da fonte","Aplicação constitucional proibida","CE-01 apenas como relato-base","E","Não utilizado","NO — conceito experimental congelado","NO","NO","Manter congelado até protocolo e fontes reproduzíveis","GP-R06 linhas 3–15, 72–80, 138–159 e 355–406 proíbe implementação e promoção."
"Artefato de Fundamentação da Decisão — AFD","GP-R06","GP-R06, 16/07/2026","GP_R06_AI_DECISION_GOVERNANCE_EXPERIMENTAL_RESEARCH.md","GP-R06","Fundamentação anterior à implementação","Aplicação constitucional proibida","Nenhuma execução autorizada","E","Não utilizado","NO","NO","NO","Não implementar; comparar futuramente com GDC-R para evitar duplicação","GP-R06 linhas 161–177 e 355–406 o define experimental, anterior à implementação e explicitamente não implementado."
"Índice de Rastreabilidade das Premissas — IRP","GP-R06","GP-R06, 16/07/2026","GP_R06_AI_DECISION_GOVERNANCE_EXPERIMENTAL_RESEARCH.md","GP-R06","Métrica futura de rastreabilidade","Nenhuma","Nenhuma","P","Não utilizado","NO — sem fórmula, escala, pesos ou limiares","NO","NO","Manter como hipótese; não produzir score antes de validação métrica","GP-R06 linhas 231–259 e 334–367 declara hipótese sem fórmula oficial e proíbe implementação."
"Harness Experimental GP-R06","GP-R06","GP-R06, 16/07/2026","GP_R06_AI_DECISION_GOVERNANCE_EXPERIMENTAL_RESEARCH.md","GP-R06","Protocolo futuro de ensaio de decisões","Nenhuma","Nenhuma execução","P","Não utilizado","NO — protocolo apenas conceitual","NO","NO","Preservar congelamento e não confundir com Harnesses existentes","GP-R06 linhas 181–229 e 355–406 afirma que não é software, não substitui Harnesses e não autoriza modificação."
"Assessment, Improvement e Validation Engines","GP-R06","GP-R06, 16/07/2026","GP_R06_AI_DECISION_GOVERNANCE_EXPERIMENTAL_RESEARCH.md","GP-R06","Possíveis módulos futuros de avaliação/melhoria/validação","Nenhuma","Nenhuma","P","Não utilizado","NO — arquitetura futura","NO","NO","Não criar módulos sem GP e validação independentes","GP-R06 linhas 316–330, 334–367 e 392–406 mantém os engines como conceitos futuros não implementados."
"Inteligência não é Autoridade","Constituição ICFACTORY","CONSTITUTION.md v0.2, versionada em 17/06/2026","CONSTITUTION.md; GOVERNANCE_ARCHITECTURE.md; PROJECT_CONSTITUTION_TEMPLATE.md; ACI/CIEX/OSE/ALO","Estrutural em todas as governanças ICFACTORY","Princípio constitucional explícito","CONSTITUTION.md linhas 136–143","Auditorias constitucionais e de Harnesses preservam o princípio","C","Utilizado estruturalmente pelo framework","YES — autoridade constitucional vigente","YES","NO","Preservar como limite de todos os experimentos","CONSTITUTION.md linhas 136–143; template e arquitetura subordinam inteligência/ALO à autoridade constitucional."
